iter	RMSE
0	49.85139712
1	49.42743722
2	48.98457648
3	48.55609691
4	48.14109467
5	47.71242795
6	47.29345258
7	46.87037032
8	46.45905789
9	46.07390438
10	45.69165541
11	45.28576408
12	44.88298893
13	44.50119432
14	44.11232644
15	43.74002004
16	43.37023221
17	42.98670299
18	42.62904842
19	42.26325934
20	41.91991606
21	41.55788724
22	41.18551744
23	40.82402776
24	40.47180786
25	40.13684028
26	39.80112928
27	39.47644955
28	39.1348464
29	38.78403393
30	38.46520743
31	38.13802165
32	37.82377734
33	37.50396288
34	37.17263579
35	36.84776349
36	36.52984742
37	36.21049829
38	35.9019464
39	35.59807742
40	35.30141065
41	34.99229498
42	34.70792066
43	34.43061005
44	34.13053529
45	33.84539991
46	33.55086955
47	33.26769686
48	32.982793
49	32.70821702
50	32.42096651
51	32.15565484
52	31.89436542
53	31.61684663
54	31.3512971
55	31.10685533
56	30.85052719
57	30.59431203
58	30.33490985
59	30.07675347
60	29.81727141
61	29.56333389
62	29.32815819
63	29.08911831
64	28.85064822
65	28.6163632
66	28.37485218
67	28.15258983
68	27.93421542
69	27.71021085
70	27.48973029
71	27.27488421
72	27.03684202
73	26.81345304
74	26.59305267
75	26.36466779
76	26.14305373
77	25.92872934
78	25.71057753
79	25.48982226
80	25.28935067
81	25.07877679
82	24.86349024
83	24.66285255
84	24.45665948
85	24.2486801
86	24.05213957
87	23.84801532
88	23.65284555
89	23.46502004
90	23.27083509
91	23.09363959
92	22.89992986
93	22.71206715
94	22.52843435
95	22.33560088
96	22.1436384
97	21.97656234
98	21.80256917
99	21.62529441
100	21.44439913
101	21.28158319
102	21.1139997
103	20.95423785
104	20.78304532
105	20.6221939
106	20.44616377
107	20.2772403
108	20.11976269
109	19.96874647
110	19.81367626
111	19.66290722
112	19.50549964
113	19.35623762
114	19.19627117
115	19.04941739
116	18.90217761
117	18.75607769
118	18.61621511
119	18.47109599
120	18.33870355
121	18.19788877
122	18.05523074
123	17.9105949
124	17.77042464
125	17.63275801
126	17.50089647
127	17.36690511
128	17.22967447
129	17.08888115
130	16.96074515
131	16.82420568
132	16.68557916
133	16.5581431
134	16.4264674
135	16.3010332
136	16.17155318
137	16.04624923
138	15.91790572
139	15.7941343
140	15.67376521
141	15.56333069
142	15.44974589
143	15.33287939
144	15.21016349
145	15.09903552
146	14.97892186
147	14.85940955
148	14.74316402
149	14.64098386
150	14.53804148
151	14.4312858
152	14.32230191
153	14.21116205
154	14.11153442
155	14.00217346
156	13.90555118
157	13.8093535
158	13.70709301
159	13.6062399
160	13.50985107
161	13.40932041
162	13.30776289
163	13.21116768
164	13.11631072
165	13.02726365
166	12.93893237
167	12.84676263
168	12.76004612
169	12.66376473
170	12.59250029
171	12.49954422
172	12.40866608
173	12.32749005
174	12.24207044
175	12.15578166
176	12.07515432
177	11.99324764
178	11.90837581
179	11.82144423
180	11.74899912
181	11.66349135
182	11.58549462
183	11.50673502
184	11.43683226
185	11.3596364
186	11.27701595
187	11.19685258
188	11.12685155
189	11.04720287
190	10.97180756
191	10.89901866
192	10.82660659
193	10.75597995
194	10.68750117
195	10.61001074
196	10.54017318
197	10.47016094
198	10.40321978
199	10.33248882
200	10.26691016
201	10.19782495
202	10.12658309
203	10.06358203
204	9.999898981
205	9.930586629
206	9.859347508
207	9.794741817
208	9.734516216
209	9.676407987
210	9.613091942
211	9.555558279
212	9.500797
213	9.440997247
214	9.381601476
215	9.32673315
216	9.264815932
217	9.208418143
218	9.148529309
219	9.092067101
220	9.035311638
221	8.973762713
222	8.911953175
223	8.864318395
224	8.813476832
225	8.755127541
226	8.702174547
227	8.646146485
228	8.593616207
229	8.539442145
230	8.487000673
231	8.440112329
232	8.388741927
233	8.340650312
234	8.287234622
235	8.240415148
236	8.189243538
237	8.144738482
238	8.099777229
239	8.057361274
240	8.012228342
241	7.967250877
242	7.927644849
243	7.887463227
244	7.843231671
245	7.794119534
246	7.749164777
247	7.702889682
248	7.661629025
249	7.616914036
250	7.57542487
251	7.536692281
252	7.494990997
253	7.452199867
254	7.411385667
255	7.377879233
256	7.338143536
257	7.299837794
258	7.258145339
259	7.221785231
260	7.189283254
261	7.151365971
262	7.113221552
263	7.079504904
264	7.040111318
265	7.005776794
266	6.967071092
267	6.928718835
268	6.892791355
269	6.858163304
270	6.827513238
271	6.790300345
272	6.756904552
273	6.7251247
274	6.692546095
275	6.660985948
276	6.632113524
277	6.598916468
278	6.567405398
279	6.537767474
280	6.506625119
281	6.475612937
282	6.442596718
283	6.411474628
284	6.382963713
285	6.351704591
286	6.323545957
287	6.295550295
288	6.266196393
289	6.238112938
290	6.210416049
291	6.17951996
292	6.153419272
293	6.126059763
294	6.101956016
295	6.077575163
296	6.054877754
297	6.027421651
298	6.00233893
299	5.978548059
300	5.953488202
301	5.92926835
302	5.905881584
303	5.8795791
304	5.85458037
305	5.830894194
306	5.8039201
307	5.779415451
308	5.754592058
309	5.732309272
310	5.710650972
311	5.687807615
312	5.663961115
313	5.641138857
314	5.617780208
315	5.595171025
